symbol,margin,safety_margin,is_fno,created_at
360ONE,0,,YES,2025-10-26T13:31:48.472Z
ABB,0,15,YES,2025-10-25T14:13:24.282Z
ABCAPITAL,0,,YES,2025-10-26T13:40:20.232Z
ADANIENSOL,0,,YES,2025-10-26T13:39:59.848Z
ADANIENT,0,25,YES,2025-10-25T14:13:24.215Z
ADANIGREEN,0,35,YES,2025-10-25T14:13:24.367Z
ADANIPORTS,0,15,YES,2025-10-25T14:13:24.219Z
ADANIPOWER,0,35,NO,2025-10-25T14:13:24.221Z
ADANITRANS,0,8,NO,2025-10-25T14:13:24.368Z
ALKEM,0,12,YES,2025-10-25T14:13:24.369Z
AMBER,0,,YES,2025-10-26T13:40:34.045Z
AMBUJACEM,0,8,YES,2025-10-25T14:13:24.370Z
ANGELONE,0,,YES,2025-10-26T13:41:02.659Z
APLAPOLLO,0,,YES,2025-10-26T13:32:09.729Z
APLLTD,0,20,NO,2025-10-25T14:13:24.371Z
APOLLOHOSP,0,12,YES,2025-10-25T14:13:24.222Z
ASHOKLEY,0,16,YES,2025-10-25T14:13:24.373Z
ASIANPAINT,0,15,YES,2025-10-25T14:13:24.224Z
ASTRAL,0,20,YES,2025-10-25T14:13:24.374Z
ATUL,0,15,NO,2025-10-25T14:13:24.375Z
AUBANK,0,20,YES,2025-10-25T14:13:24.285Z
AUROPHARMA,0,20,YES,2025-10-25T14:13:24.377Z
AXISBANK,0,15,YES,2025-10-25T14:13:24.225Z
BAJAJ-AUTO,0,20,YES,2025-10-25T14:13:24.226Z
BAJAJFINSV,0,15,YES,2025-10-25T14:13:24.229Z
BAJFINANCE,0,15,YES,2025-10-25T14:13:24.228Z
BALRAMCHIN,0,15,NO,2025-10-25T14:13:24.378Z
BANDHANBNK,0,25,YES,2025-10-25T14:13:24.286Z
BANKBARODA,0,20,YES,2025-10-25T14:13:24.287Z
BATAINDIA,0,13,NO,2025-10-25T14:13:24.379Z
BEL,0,15,YES,2025-10-25T14:13:24.288Z
BERGEPAINT,0,15,NO,2025-10-25T14:13:24.381Z
BHARATFORG,0,17,YES,2025-10-25T14:13:24.382Z
BHARTIARTL,0,8,YES,2025-10-25T14:13:24.232Z
BHEL,0,20,YES,2025-10-25T14:13:24.289Z
BIOCON,0,20,YES,2025-10-25T14:13:24.290Z
BOSCHLTD,0,15,YES,2025-10-25T14:13:24.292Z
BPCL,0,15,YES,2025-10-25T14:13:24.230Z
BRITANNIA,0,11,YES,2025-10-25T14:13:24.233Z
CADILAHC,0,8,NO,2025-10-25T14:13:24.293Z
CHOLAFIN,0,20,YES,2025-10-25T14:13:24.295Z
CIPLA,0,11,YES,2025-10-25T14:13:24.234Z
COALINDIA,0,15,YES,2025-10-25T14:13:24.236Z
COLPAL,0,15,YES,2025-10-25T14:13:24.383Z
