UNDERLYING                          ,SYMBOL    ,25-Nov
NIFTY 50                            ,NIFTY     ,75
NIFTY BANK                          ,BANKNIFTY ,35
NIFTY FINANCIAL SERVICES            ,FINNIFTY  ,65
NIFTY MID SELECT                    ,MIDCPNIFTY,140
NIFTY NEXT 50                       ,NIFTYNXT50,25
Derivatives on Individual Securities,Symbol    ,25-Nov
360 ONE WAM LIMITED                 ,360ONE    ,500
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL ,3100
ADANI ENERGY SOLUTION LTD           ,ADANIENSOL,675
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,125
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,300
ADANI GREEN ENERGY LTD              ,ADANIGREEN,600
ASIAN PAINTS LIMITED                ,ASIANPAINT,250
ADANI PORT & SEZ LTD                ,ADANIPORTS,475
ALKEM LABORATORIES LTD.             ,ALKEM     ,125
ABB INDIA LIMITED                   ,ABB       ,125
AMBER ENTERPRISES (I) LTD           ,AMBER     ,100
BHARAT ELECTRONICS LTD              ,BEL       ,1425
APL APOLLO TUBES LTD                ,APLAPOLLO ,350
BOSCH LIMITED                       ,BOSCHLTD  ,25
AXIS BANK LIMITED                   ,AXISBANK  ,625
CG POWER AND IND SOL LTD            ,CGPOWER   ,850
BANK OF INDIA                       ,BANKINDIA ,5200
COLGATE PALMOLIVE LTD.              ,COLPAL    ,225
DABUR INDIA LTD                     ,DABUR     ,1250
BHARAT DYNAMICS LIMITED             ,BDL       ,325
DALMIA BHARAT LIMITED               ,DALBHARAT ,325
BHEL                                ,BHEL      ,2625
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,125
BSE LIMITED                         ,BSE       ,375
CENTRAL DEPO SER (I) LTD            ,CDSL      ,475
CIPLA LTD                           ,CIPLA     ,375
ANGEL ONE LIMITED                   ,ANGELONE  ,250
COAL INDIA LTD                      ,COALINDIA ,1350
DR. REDDY S LABORATORIES            ,DRREDDY   ,625
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,5000
GAIL (INDIA) LTD                    ,GAIL      ,3150
GRASIM INDUSTRIES LTD               ,GRASIM    ,250
ASTRAL LIMITED                      ,ASTRAL    ,425
AU SMALL FINANCE BANK LTD           ,AUBANK    ,1000
ICICI LOMBARD GIC LIMITED           ,ICICIGI   ,325
INTERGLOBE AVIATION LTD             ,INDIGO    ,150
BHARTI AIRTEL LIMITED               ,BHARTIARTL,475
AVENUE SUPERMARTS LIMITED           ,DMART     ,150
INFOSYS LIMITED                     ,INFY      ,400
BIOCON LIMITED.                     ,BIOCON    ,2500
ETERNAL LIMITED                     ,ETERNAL   ,2425
AUROBINDO PHARMA LTD                ,AUROPHARMA,550
FORTIS HEALTHCARE LTD               ,FORTIS    ,775
GMR AIRPORTS LIMITED                ,GMRAIRPORT,6975
ITC LTD                             ,ITC       ,1600
JSW ENERGY LIMITED                  ,JSWENERGY ,1000
GODREJ CONSUMER PRODUCTS            ,GODREJCP  ,500
GODREJ PROPERTIES LTD               ,GODREJPROP,275
BANDHAN BANK LIMITED                ,BANDHANBNK,3600
BANK OF BARODA                      ,BANKBARODA,2925
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,1000
CONTAINER CORP OF IND LTD           ,CONCOR    ,1250
MAHINDRA & MAHINDRA LTD             ,M&M       ,200
HDFC BANK LTD                       ,HDFCBANK  ,550
CUMMINS INDIA LTD                   ,CUMMINSIND,200
BHARAT FORGE LTD                    ,BHARATFORG,500
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,3750
DELHIVERY LIMITED                   ,DELHIVERY ,2075
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,700
BAJAJ FINANCE LIMITED               ,BAJFINANCE,750
NTPC LTD                            ,NTPC      ,1500
HSG & URBAN DEV CORPN LTD           ,HUDCO     ,2775
ICICI BANK LTD.                     ,ICICIBANK ,700
ONE 97 COMMUNICATIONS LTD           ,PAYTM     ,725
INDRAPRASTHA GAS LTD                ,IGL       ,2750
PI INDUSTRIES LTD                   ,PIIND     ,175
INDUS TOWERS LIMITED                ,INDUSTOWER,1700
POWER GRID CORP. LTD.               ,POWERGRID ,1900
INOX WIND LIMITED                   ,INOXWIND  ,3272
INDIAN RAIL TOUR CORP LTD           ,IRCTC     ,875
HCL TECHNOLOGIES LTD                ,HCLTECH   ,350
INDIAN RENEWABLE ENERGY             ,IREDA     ,3450
CANARA BANK                         ,CANBK     ,6750
RBL BANK LIMITED                    ,RBLBANK   ,3175
HDFC AMC LIMITED                    ,HDFCAMC   ,150
INDIAN RAILWAY FIN CORP L           ,IRFC      ,4250
JIO FIN SERVICES LTD                ,JIOFIN    ,2350
SHREE CEMENT LIMITED                ,SHREECEM  ,25
KALYAN JEWELLERS IND LTD            ,KALYANKJIL,1175
HINDUSTAN PETROLEUM CORP            ,HINDPETRO ,2025
SRF LTD                             ,SRF       ,200
SUPREME INDUSTRIES LTD              ,SUPREMEIND,175
TATA ELXSI LIMITED                  ,TATAELXSI ,100
TATA MOTORS PASS VEH LTD            ,TMPV      ,800
TUBE INVEST OF INDIA LTD            ,TIINDIA   ,200
KFIN TECHNOLOGIES LIMITED           ,KFINTECH  ,450
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,400
UNITED SPIRITS LIMITED              ,UNITDSPR  ,400
KPIT TECHNOLOGIES LIMITED           ,KPITTECH  ,400
VARUN BEVERAGES LIMITED             ,VBL       ,1025
INDIAN OIL CORP LTD                 ,IOC       ,4875
LAURUS LABS LIMITED                 ,LAURUSLABS,850
ZYDUS LIFESCIENCES LTD              ,ZYDUSLIFE ,900
LARSEN & TOUBRO LTD.                ,LT        ,175
L&T FINANCE LIMITED                 ,LTF       ,4462
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,75
LUPIN LIMITED                       ,LUPIN     ,425
JSW STEEL LIMITED                   ,JSWSTEEL  ,675
MULTI COMMODITY EXCHANGE            ,MCX       ,125
BLUE STAR LIMITED                   ,BLUESTARCO,325
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,275
INFO EDGE (I) LTD                   ,NAUKRI    ,375
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1975
NBCC (INDIA) LIMITED                ,NBCC      ,6500
NCC LIMITED                         ,NCC       ,2700
