particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Opening Balance,,,,,,0.000000
Settlement Value for 2017202,2017-10-25,NSE-EQ - Z,Book Voucher,89852.881000,0.000000,-89852.881000
Being Payment Gateway Charges Debited - ZH5597,2017-10-25,NSE-EQ - Z,Journal Entry,10.620000,0.000000,-89863.501000
Being amount received from ZH5597-1319059088 through NEST Payment Gateway,2017-10-25,NSE-EQ - Z,Bank Receipts,0.000000,90000.000000,136.499000
Being amount received from ZH5597-1319388462 through NEST Payment Gateway,2017-10-26,NSE-EQ - Z,Bank Receipts,0.000000,100000.000000,100136.499000
Being Payment Gateway Charges Debited - ZH5597,2017-10-26,NSE-EQ - Z,Journal Entry,10.620000,0.000000,100125.879000
Settlement Value for 2017203,2017-10-26,NSE-EQ - Z,Book Voucher,85253.461000,0.000000,14872.418000
PAYOUT OF FUNDS TO ICICI BANK 016901529995 A/C NUMBER AS PER WITHDRAWAL REQUEST MADE,2017-10-27,NSE-EQ - Z,Bank Payments,14872.000000,0.000000,0.418000
Being Infy buyback order placement charges,2017-12-19,NSE-EQ - Z,Journal Entry,23.600000,0.000000,-23.182000
Settlement Value for 2017097,2017-12-21,BSE-EQ - Z,Book Voucher,118.332000,0.000000,-141.514000
DP charges for Infy buyback,2017-12-22,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-157.444000
Settlement Value for 2017248,2017-12-29,NSE-EQ - Z,Book Voucher,0.000000,91408.396000,91250.952000
DP Charges for 01/01/2018,2018-01-01,NSE-EQ - Z,Journal Entry,15.930000,0.000000,91235.022000
PAYOUT OF FUNDS TO ICICI BANK 016901529995 A/C NUMBER AS PER WITHDRAWAL REQUEST MADE,2018-01-08,NSE-EQ - Z,Bank Payments,91235.000000,0.000000,0.022000
Being AMC charges towards Demat account--ZH5597,2018-04-07,NSE-EQ - Z,Journal Entry,213.940000,0.000000,-213.918000
Received from ZH5597-819112829905     online transfer.,2018-07-10,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,49786.082000
Settlement value for July 10 -  2018 in NSE with settlement number 2018131,2018-07-10,NSE-EQ - Z,Book Voucher,16214.143210,0.000000,33571.938790
Settlement value for July 11 -  2018 in NSE with settlement number 2018132,2018-07-11,NSE-EQ - Z,Book Voucher,16492.162628,0.000000,17079.776162
Settlement value for July 12 -  2018 in NSE with settlement number 2018133,2018-07-12,NSE-EQ - Z,Book Voucher,16646.923368,0.000000,432.852794
Settlement value for September 10 -  2018 in NSE with settlement number 2018173,2018-09-10,NSE-EQ - Z,Book Voucher,0.000000,45038.638884,45471.491678
DP Charges for 10/09/2018,2018-09-12,NSE-EQ - Z,Journal Entry,31.860000,0.000000,45439.631678
PAYOUT OF FUNDS TO ICICI BANK 016901529995 A/C NUMBER AS PER WITHDRAWAL REQUEST MADE,2018-09-18,NSE-EQ - Z,Bank Payments,45439.000000,0.000000,0.631678
Net settlement  for  NSE-Equity with settlement number: 2018179,2018-09-19,NSE-EQ - Z,Book Voucher,0.000000,11261.050791,11261.682469
DP Charges for 19/09/2018,2018-09-24,NSE-EQ - Z,Journal Entry,15.930000,0.000000,11245.752469
PAYOUT OF FUNDS TO ICICI BANK 016901529995 A/C NUMBER AS PER WITHDRAWAL REQUEST MADE,2018-09-25,NSE-EQ - Z,Bank Payments,11245.000000,0.000000,0.752469
Funds added using payment gateway from ZH5597 with reference number 1554123942,2018-10-11,NSE-EQ - Z,Bank Receipts,0.000000,200000.000000,200000.752469
Being payment gateway charges debited for ZH5597,2018-10-11,NSE-EQ - Z,Journal Entry,10.620000,0.000000,199990.132469
Net settlement  for  NSE-Equity with settlement number: 2018193,2018-10-11,NSE-EQ - Z,Book Voucher,61616.311072,0.000000,138373.821397
Net settlement  for  NSE-Equity with settlement number: 2018194,2018-10-12,NSE-EQ - Z,Book Voucher,111204.710974,0.000000,27169.110423
PAYOUT OF FUNDS TO ICICI BANK 016901529995 A/C NUMBER AS PER WITHDRAWAL REQUEST MADE,2018-10-24,NSE-EQ - Z,Bank Payments,27169.000000,0.000000,0.110423
Funds added using NEFT/IMPS/RTGS from ZH5597 with reference number 833709921007,2018-12-03,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,50000.110423
Net settlement  for  NSE-Equity with settlement number: 2018229,2018-12-05,NSE-EQ - Z,Book Voucher,4541.728668,0.000000,45458.381755
Net settlement  for  NSE-Equity with settlement number: 2018230,2018-12-06,NSE-EQ - Z,Book Voucher,32743.246452,0.000000,12715.135303
Net settlement  for  NSE-Equity with settlement number: 2018231,2018-12-07,NSE-EQ - Z,Book Voucher,4298.761768,0.000000,8416.373535
